iter	RMSE
0	0.2914357418
1	0.2835917826
2	0.2760012498
3	0.2684874756
4	0.2612872461
5	0.2542334483
6	0.2473315692
7	0.2406858245
8	0.2342011845
9	0.2279290066
10	0.2218112499
11	0.2159165859
12	0.2102862146
13	0.2047286156
14	0.1994207286
15	0.1941832835
16	0.1890679398
17	0.1839607358
18	0.17917339
19	0.17451933
20	0.1700214233
21	0.165585898
22	0.1613536783
23	0.1571939324
24	0.153113722
25	0.1491754861
26	0.1453603286
27	0.1416451862
28	0.1380462021
29	0.1345215315
30	0.1310814131
31	0.1277449743
32	0.124503755
33	0.1213487609
34	0.1182665343
35	0.1152654278
36	0.1123443551
37	0.1094989528
38	0.1067264085
39	0.1040344777
40	0.1014020493
41	0.09883972736
42	0.0963446066
43	0.09391167304
44	0.09154803556
45	0.08924069424
46	0.08699668817
47	0.08480372442
48	0.08267174745
49	0.08058669907
50	0.07855806298
51	0.07658388502
52	0.0746612349
53	0.0727879793
54	0.07095954565
55	0.06917840846
56	0.06744122705
57	0.06574975956
58	0.0640998921
59	0.06249173508
60	0.0609261311
61	0.05939832889
62	0.05790861508
63	0.05645636945
64	0.05504345153
65	0.05366369376
66	0.05231897435
67	0.05100797043
68	0.04973224657
69	0.0484871088
70	0.04727444173
71	0.04609180675
72	0.04493881749
73	0.04381515314
74	0.04271887732
75	0.04164975421
76	0.04060894329
77	0.03959429088
78	0.03860396213
79	0.03763861954
80	0.03669781692
81	0.035781532
82	0.03488864894
83	0.03401828362
84	0.03316909153
85	0.03234104388
86	0.03153319391
87	0.03074642941
88	0.02997920844
89	0.029231508
90	0.02850245267
91	0.02779161798
92	0.0270979325
93	0.0264228223
94	0.02576419356
95	0.02512196809
96	0.02449659348
97	0.02388621147
98	0.023291173
99	0.02271084903
